Protein FDR Confidence,Accession,Description,MW [kDa],# Unique Peptides,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,Abundance Ratio (log2): (R62) / (WTR),P-Value,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,WTR-38,WTR-40,WTR-55,R62-44,R62-54,R62-57,,,
High,Q80XI3,Eukaryotic translation initiation factor 4 gamma 3 OS=Mus musculus (Mouse) OX=10090 GN=Eif4g3 PE=1 SV=2,174.8,7,3,4,,7,,2,3,4,,7,,2,0.63,5.33E-01,1,3,3,5,3,4,2.99E+06,8.71E+05,3.01E+05,1.72E+06,4.96E+05,1.35E+06,,,
High,Q9EST1,Gasdermin-A OS=Mus musculus (Mouse) OX=10090 GN=Gsdma PE=2 SV=1,49.6,3,2,2,,2,3,,2,2,,2,3,,0.31,5.34E-01,3,3,3,3,3,3,8.47E+06,5.77E+06,1.11E+07,7.92E+06,1.05E+07,1.39E+07,,,
High,P26043,Radixin OS=Mus musculus (Mouse) OX=10090 GN=Rdx PE=1 SV=3,68.5,16,20,16,7,20,8,9,31,18,9,24,9,11,0.19,5.35E-01,11,13,12,13,10,11,3.90E+07,1.92E+07,1.06E+07,3.34E+07,2.20E+07,1.91E+07,,,
High,Q64105,Sepiapterin reductase OS=Mus musculus (Mouse) OX=10090 GN=Spr PE=1 SV=1,27.9,10,2,9,3,9,4,6,3,11,3,11,6,7,0.23,5.38E-01,6,10,9,9,4,7,1.14E+07,2.19E+07,1.04E+07,2.65E+07,1.34E+07,1.01E+07,,,
High,Q923D5,WW domain-binding protein 11 OS=Mus musculus (Mouse) OX=10090 GN=Wbp11 PE=1 SV=2,69.8,6,3,1,,1,1,,3,1,,1,1,,-0.8,5.38E-01,4,3,2,4,2,2,3.14E+06,1.06E+06,6.16E+05,1.70E+06,2.98E+05,6.08E+05,,,
High,P54227,Stathmin OS=Mus musculus (Mouse) OX=10090 GN=Stmn1 PE=1 SV=2,17.3,13,11,9,7,10,7,4,17,11,9,14,9,4,0.19,5.39E-01,12,11,13,13,9,10,1.81E+08,2.00E+08,1.59E+08,2.06E+08,2.14E+08,1.58E+08,,,
High,P19536,"Cytochrome c oxidase subunit 5B, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Cox5b PE=1 SV=1",13.8,1,1,1,,1,,1,1,2,,1,,1,-0.6,5.39E-01,2,2,2,2,2,2,1.22E+07,6.31E+06,1.99E+06,6.35E+06,3.07E+06,4.18E+06,,,
High,P51881,ADP/ATP translocase 2 OS=Mus musculus (Mouse) OX=10090 GN=Slc25a5 PE=1 SV=3,32.9,7,14,15,9,16,11,10,32,28,9,28,16,12,-0.58,5.41E-01,8,9,6,8,6,7,2.33E+08,1.56E+08,4.67E+07,1.41E+08,7.95E+07,1.05E+08,,,
High,Q80ZM5,H15 domain-containing protein OS=Mus musculus (Mouse) OX=10090 GN=H1f10 PE=1 SV=1,20.1,4,2,3,3,3,3,3,2,3,3,3,3,3,-0.62,5.43E-01,3,2,3,2,4,3,1.00E+07,5.80E+06,4.36E+06,4.20E+06,3.78E+06,2.84E+06,,,
High,P45591,Cofilin-2 OS=Mus musculus (Mouse) OX=10090 GN=Cfl2 PE=1 SV=1,18.7,3,5,6,4,4,3,5,11,8,6,4,7,7,0.29,5.46E-01,2,3,3,3,2,3,1.40E+07,8.60E+06,6.35E+06,1.01E+07,2.26E+07,1.05E+07,,,
High,O89112,Glutathione S-transferase LANCL1 OS=Mus musculus (Mouse) OX=10090 GN=Lancl1 PE=1 SV=1,45.3,4,2,2,1,3,1,1,2,2,1,3,1,1,0.5,5.46E-01,3,2,3,3,1,3,5.51E+06,7.81E+05,1.11E+06,1.82E+06,1.16E+06,1.58E+06,,,
High,P06797,Cathepsin L1 OS=Mus musculus (Mouse) OX=10090 GN=Ctsl PE=1 SV=2,37.5,5,3,5,2,3,3,3,5,8,2,3,4,6,-0.58,5.47E-01,2,5,3,2,3,4,2.77E+06,3.46E+07,9.28E+06,2.70E+06,6.19E+06,1.97E+07,,,
High,P57776,Elongation factor 1-delta OS=Mus musculus (Mouse) OX=10090 GN=Eef1d PE=1 SV=3,31.3,10,11,8,3,9,5,7,15,11,3,12,6,7,-0.57,5.47E-01,7,6,4,8,5,7,5.01E+07,5.45E+07,2.08E+07,5.96E+07,3.37E+07,3.29E+07,,,
High,Q6P5D8,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Smchd1 PE=1 SV=2,225.5,6,3,3,1,3,,,3,3,1,3,,,-0.57,5.47E-01,2,3,2,4,2,2,2.62E+07,2.04E+07,2.47E+07,1.49E+07,1.66E+07,1.88E+07,,,
High,Q8K4X7,1-acyl-sn-glycerol-3-phosphate acyltransferase delta OS=Mus musculus (Mouse) OX=10090 GN=Agpat4 PE=1 SV=1,43.8,13,7,12,3,10,1,4,7,13,3,12,1,4,0.2,5.48E-01,6,11,7,11,6,9,1.28E+07,2.82E+07,9.81E+06,3.06E+07,7.86E+06,1.47E+07,,,
High,Q9D0B0,Serine/arginine-rich splicing factor 9 OS=Mus musculus (Mouse) OX=10090 GN=Srsf9 PE=1 SV=1,25.6,6,4,4,,2,,2,5,4,,2,,2,-0.69,5.49E-01,6,4,2,3,2,5,8.52E+06,3.97E+06,3.13E+05,3.58E+06,8.97E+05,2.46E+06,,,
High,Q3TCN2,Putative phospholipase B-like 2 OS=Mus musculus (Mouse) OX=10090 GN=Plbd2 PE=1 SV=2,66.2,6,2,6,3,2,1,4,2,7,4,2,1,4,-0.66,5.50E-01,2,4,2,2,1,3,1.83E+06,1.68E+07,4.78E+06,3.03E+06,1.49E+06,9.58E+06,,,
High,P24549,Retinal dehydrogenase 1 OS=Mus musculus (Mouse) OX=10090 GN=Aldh1a1 PE=1 SV=5,54.4,3,1,3,,2,2,2,1,3,,2,2,2,0.37,5.50E-01,1,3,2,1,2,2,2.37E+06,4.86E+06,8.12E+05,2.84E+06,3.07E+06,3.61E+06,,,
High,Q60932,Voltage-dependent anion-selective channel protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Vdac1 PE=1 SV=3,32.3,12,9,12,7,10,4,6,27,17,9,14,5,6,-0.57,5.50E-01,9,11,9,11,8,8,2.14E+08,1.81E+08,7.30E+07,1.58E+08,8.21E+07,1.22E+08,,,
High,Q9CR61,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7 OS=Mus musculus (Mouse) OX=10090 GN=Ndufb7 PE=1 SV=3,16.3,4,2,4,,3,2,2,2,5,,3,3,2,0.31,5.50E-01,3,3,3,3,3,3,6.97E+06,1.09E+07,5.71E+06,1.35E+07,8.64E+06,7.62E+06,,,
High,P50516,V-type proton ATPase catalytic subunit A OS=Mus musculus (Mouse) OX=10090 GN=Atp6v1a PE=1 SV=2,68.3,26,11,23,9,21,7,12,13,27,9,25,9,14,0.18,5.51E-01,16,22,18,23,13,18,4.09E+07,6.73E+07,2.10E+07,9.49E+07,3.47E+07,4.62E+07,,,
High,D3Z3N4,Heterogeneous nuclear ribonucleoprotein H3 OS=Mus musculus (Mouse) OX=10090 GN=Hnrnph3 PE=1 SV=1,36.8,9,6,6,2,8,3,4,8,9,2,10,4,5,-0.57,5.52E-01,8,9,8,9,5,6,3.77E+07,2.12E+07,1.03E+07,2.68E+07,1.43E+07,1.41E+07,,,
High,P16045,Galectin-1 OS=Mus musculus (Mouse) OX=10090 GN=Lgals1 PE=1 SV=3,14.9,4,2,2,,1,,1,3,2,,1,,1,-0.71,5.53E-01,2,2,2,2,1,2,2.98E+07,3.04E+06,1.29E+06,2.76E+06,1.09E+06,1.86E+06,,,
High,Q9JII5,DAZ-associated protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Dazap1 PE=1 SV=2,43.2,5,4,5,2,5,2,2,6,9,2,11,2,2,0.18,5.53E-01,5,5,4,6,5,3,1.91E+07,1.48E+07,5.74E+06,1.68E+07,1.32E+08,7.42E+06,,,
High,Q64511,DNA topoisomerase 2-beta OS=Mus musculus (Mouse) OX=10090 GN=Top2b PE=1 SV=2,181.8,26,10,15,1,26,3,3,12,18,1,31,4,3,-0.55,5.54E-01,10,16,8,18,7,11,1.10E+07,1.64E+07,3.03E+06,2.42E+07,6.54E+06,7.53E+06,,,
High,P09405,Nucleolin OS=Mus musculus (Mouse) OX=10090 GN=Ncl PE=1 SV=2,76.7,27,22,21,16,25,13,14,40,27,18,30,14,15,-0.57,5.55E-01,23,25,21,27,22,22,3.97E+08,2.08E+08,9.09E+07,2.54E+08,1.37E+08,1.41E+08,,,
High,O70493,Sorting nexin-12 OS=Mus musculus (Mouse) OX=10090 GN=Snx12 PE=1 SV=1,19.1,4,4,6,1,5,,3,5,6,1,5,,3,0.34,5.55E-01,1,2,,2,2,1,1.50E+06,2.52E+06,,2.46E+06,2.53E+06,2.05E+06,,,
High,Q9R0P6,Signal peptidase complex catalytic subunit SEC11A OS=Mus musculus (Mouse) OX=10090 GN=Sec11a PE=1 SV=1,20.6,3,2,2,,1,1,,2,2,,1,1,,0.6,5.55E-01,3,1,3,2,2,1,5.69E+06,3.81E+05,6.83E+05,1.86E+06,1.04E+06,5.83E+05,,,
High,Q99LI7,Cleavage stimulation factor subunit 3 OS=Mus musculus (Mouse) OX=10090 GN=Cstf3 PE=1 SV=1,82.8,5,3,4,,4,,2,3,4,,4,,2,-0.75,5.55E-01,3,3,1,1,2,2,1.44E+06,9.99E+05,1.69E+05,4.04E+05,5.95E+05,6.16E+05,,,
High,Q07076,Annexin A7 OS=Mus musculus (Mouse) OX=10090 GN=Anxa7 PE=1 SV=2,49.9,12,8,8,2,8,4,4,10,8,2,9,4,5,0.34,5.57E-01,9,9,6,9,6,9,1.59E+07,4.32E+06,2.40E+06,6.20E+06,3.43E+06,5.45E+06,,,
High,Q8VD04,GRIP1-associated protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Gripap1 PE=1 SV=1,92.7,7,1,3,,4,,2,1,3,,4,,2,0.54,5.57E-01,,2,,1,2,2,,2.66E+05,,3.76E+05,3.87E+05,4.45E+05,,,
High,Q3TDQ1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B OS=Mus musculus (Mouse) OX=10090 GN=Stt3b PE=1 SV=2,93.2,6,3,5,,4,,2,3,5,,4,,2,0.35,5.59E-01,5,4,1,6,,,4.09E+06,3.74E+06,3.98E+05,4.77E+06,,,,,
High,Q64478,Histone H2B type 1-H OS=Mus musculus (Mouse) OX=10090 GN=Hist1h2bh PE=1 SV=3,13.9,7,10,9,6,13,5,7,65,56,21,59,28,41,-0.56,5.59E-01,5,6,6,6,4,5,4.16E+09,3.79E+09,2.63E+09,4.27E+09,1.34E+09,2.57E+09,,,
High,Q3UKJ7,WD40 repeat-containing protein SMU1 OS=Mus musculus (Mouse) OX=10090 GN=Smu1 PE=2 SV=2,57.5,12,9,8,3,7,3,2,11,9,3,8,4,2,-0.59,5.59E-01,8,7,5,7,4,6,1.18E+07,6.14E+06,2.69E+06,6.77E+06,1.20E+06,4.08E+06,,,
High,O70503,Very-long-chain 3-oxoacyl-CoA reductase OS=Mus musculus (Mouse) OX=10090 GN=Hsd17b12 PE=1 SV=1,34.7,9,3,6,2,9,1,3,3,7,2,9,1,3,0.3,5.60E-01,4,5,4,5,1,5,7.00E+06,1.32E+07,4.23E+06,1.27E+07,1.13E+06,8.62E+06,,,
High,Q60967,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 OS=Mus musculus (Mouse) OX=10090 GN=Papss1 PE=1 SV=1,70.7,4,1,3,,2,,,1,3,,2,,,-0.69,5.61E-01,,3,3,4,1,1,,3.72E+06,2.53E+06,3.85E+06,4.79E+05,1.90E+06,,,
High,P63085,Mitogen-activated protein kinase 1 OS=Mus musculus (Mouse) OX=10090 GN=Mapk1 PE=1 SV=3,41.2,9,9,8,4,11,5,7,12,12,5,17,7,8,0.18,5.62E-01,6,8,6,9,4,7,1.45E+07,2.05E+07,4.91E+06,2.70E+07,1.65E+07,1.62E+07,,,
High,Q9R0P4,Small acidic protein OS=Mus musculus (Mouse) OX=10090 GN=Smap PE=1 SV=1,20,2,2,2,,2,,1,3,2,,3,,1,0.6,5.63E-01,2,1,2,2,1,2,2.25E+06,5.08E+05,5.29E+05,1.67E+06,8.05E+05,6.67E+05,,,
High,Q9D1D4,Transmembrane emp24 domain-containing protein 10 OS=Mus musculus (Mouse) OX=10090 GN=Tmed10 PE=1 SV=1,24.9,8,7,7,5,8,4,6,14,12,7,11,6,9,0.16,5.63E-01,8,8,9,9,6,7,4.25E+07,3.86E+07,2.27E+07,6.34E+07,3.37E+07,4.33E+07,,,
High,P26039,Talin-1 OS=Mus musculus (Mouse) OX=10090 GN=Tln1 PE=1 SV=2,269.7,43,34,22,,25,6,7,37,22,,25,6,7,-0.53,5.64E-01,22,18,9,22,12,8,3.81E+07,1.56E+07,3.15E+06,2.57E+07,1.08E+07,3.51E+06,,,
High,Q60737,Casein kinase II subunit alpha OS=Mus musculus (Mouse) OX=10090 GN=Csnk2a1 PE=1 SV=2,45.1,9,7,9,2,8,1,4,7,10,2,8,1,4,-0.53,5.64E-01,8,9,4,9,5,6,1.67E+07,1.57E+07,3.18E+06,2.43E+07,1.02E+07,1.09E+07,,,
High,Q6P5E4,UDP-glucose:glycoprotein glucosyltransferase 1 OS=Mus musculus (Mouse) OX=10090 GN=Uggt1 PE=1 SV=4,176.3,11,4,4,,10,,,4,4,,10,,,0.47,5.65E-01,3,2,3,6,,1,3.31E+06,1.15E+06,1.05E+06,7.05E+06,,3.63E+05,,,
High,P83940,Elongin-C OS=Mus musculus (Mouse) OX=10090 GN=Eloc PE=1 SV=1,12.5,3,3,2,,2,1,1,6,2,,3,2,1,-0.71,5.65E-01,4,3,2,2,1,2,4.92E+06,1.83E+06,2.57E+05,1.64E+06,1.04E+06,1.12E+06,,,
High,Q3TAS6,ER membrane protein complex subunit 10 OS=Mus musculus (Mouse) OX=10090 GN=Emc10 PE=2 SV=2,27,3,2,2,,3,,,2,2,,3,,,0.37,5.66E-01,2,2,2,2,2,2,1.78E+06,1.60E+06,1.32E+06,2.06E+06,1.72E+06,2.22E+06,,,
High,Q8BFQ4,WD repeat-containing protein 82 OS=Mus musculus (Mouse) OX=10090 GN=Wdr82 PE=1 SV=1,35.1,4,1,3,,3,,1,1,4,,3,,1,-0.76,5.66E-01,2,2,2,3,1,1,3.55E+06,1.12E+06,4.51E+05,2.14E+06,6.60E+05,1.38E+05,,,
High,P17710,Hexokinase-1 OS=Mus musculus (Mouse) OX=10090 GN=Hk1 PE=1 SV=3,108.2,25,12,22,10,23,8,15,13,26,10,28,8,15,0.16,5.67E-01,16,22,16,19,15,20,3.17E+07,5.66E+07,1.56E+07,5.86E+07,2.50E+07,3.55E+07,,,
High,Q6P8X1,Sorting nexin-6 OS=Mus musculus (Mouse) OX=10090 GN=Snx6 PE=1 SV=2,46.6,11,5,7,2,10,4,5,5,8,2,13,4,6,0.32,5.67E-01,6,6,5,9,4,7,9.19E+06,5.73E+06,1.63E+06,1.21E+07,5.36E+06,7.14E+06,,,
High,Q7TMK9,Heterogeneous nuclear ribonucleoprotein Q OS=Mus musculus (Mouse) OX=10090 GN=Syncrip PE=1 SV=2,69.6,15,14,14,5,17,7,11,19,17,5,20,7,12,0.16,5.67E-01,12,11,7,12,10,9,5.39E+07,2.94E+07,8.63E+06,3.29E+07,4.27E+07,1.56E+07,,,
High,P61027,Ras-related protein Rab-10 OS=Mus musculus (Mouse) OX=10090 GN=Rab10 PE=1 SV=1,22.5,10,8,6,2,8,2,3,8,6,2,9,2,3,-0.55,5.68E-01,8,7,6,9,5,6,3.26E+07,3.42E+07,1.00E+07,4.53E+07,1.79E+07,2.22E+07,,,
High,Q9R0Q3,Transmembrane emp24 domain-containing protein 2 OS=Mus musculus (Mouse) OX=10090 GN=Tmed2 PE=1 SV=1,22.7,6,3,5,5,6,3,4,6,9,5,11,4,6,0.19,5.68E-01,5,7,7,7,4,6,1.50E+07,1.20E+07,1.05E+07,2.17E+07,1.28E+07,1.36E+07,,,
High,Q8BXZ1,Protein disulfide-isomerase TMX3 OS=Mus musculus (Mouse) OX=10090 GN=Tmx3 PE=1 SV=2,51.8,7,1,3,1,6,4,5,1,3,1,7,4,5,0.36,5.70E-01,2,3,4,5,4,5,5.71E+06,4.79E+06,2.03E+06,9.97E+06,4.24E+06,6.15E+06,,,
High,Q9Z1X4,Interleukin enhancer-binding factor 3 OS=Mus musculus (Mouse) OX=10090 GN=Ilf3 PE=1 SV=2,96,26,22,20,3,20,3,11,33,24,3,28,3,11,-0.55,5.70E-01,23,20,15,23,12,17,1.06E+08,4.52E+07,1.47E+07,6.91E+07,3.08E+07,2.89E+07,,,
High,Q8BG32,26S proteasome non-ATPase regulatory subunit 11 OS=Mus musculus (Mouse) OX=10090 GN=Psmd11 PE=1 SV=3,47.4,18,15,13,5,15,6,5,19,15,5,20,7,5,0.17,5.71E-01,13,12,7,16,9,10,4.04E+07,1.30E+07,4.25E+06,2.62E+07,1.38E+07,1.47E+07,,,
High,Q8JZK9,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic OS=Mus musculus (Mouse) OX=10090 GN=Hmgcs1 PE=1 SV=1",57.5,4,2,1,,2,1,1,3,1,,2,1,1,-0.74,5.72E-01,1,2,2,1,1,2,1.05E+06,6.18E+05,4.06E+05,3.71E+05,3.04E+05,4.58E+05,,,
High,Q6URW6,Myosin-14 OS=Mus musculus (Mouse) OX=10090 GN=Myh14 PE=1 SV=1,228.4,23,6,10,,21,4,11,7,10,,21,4,11,-0.68,5.72E-01,7,10,5,11,5,8,3.28E+06,4.31E+06,1.26E+07,6.89E+06,1.34E+06,2.69E+06,,,
High,Q9JMG1,Endothelial differentiation-related factor 1 OS=Mus musculus (Mouse) OX=10090 GN=Edf1 PE=1 SV=1,16.4,4,4,2,,4,1,2,5,2,,5,2,2,-0.6,5.73E-01,4,3,2,4,3,3,1.32E+07,5.21E+06,1.45E+06,6.01E+06,3.45E+06,1.86E+06,,,
High,O88531,Palmitoyl-protein thioesterase 1 OS=Mus musculus (Mouse) OX=10090 GN=Ppt1 PE=1 SV=2,34.5,7,3,5,3,6,2,4,3,5,3,9,2,7,0.18,5.74E-01,5,7,6,6,4,5,1.23E+07,2.46E+07,7.40E+06,2.11E+07,8.06E+06,1.40E+07,,,
High,P61979,Heterogeneous nuclear ribonucleoprotein K OS=Mus musculus (Mouse) OX=10090 GN=Hnrnpk PE=1 SV=1,50.9,21,20,20,16,20,12,15,44,39,22,39,21,21,-0.55,5.74E-01,26,25,23,25,18,21,8.93E+08,5.13E+08,2.62E+08,6.03E+08,3.00E+08,3.51E+08,,,
High,Q8BG81,Polymerase delta-interacting protein 3 OS=Mus musculus (Mouse) OX=10090 GN=Poldip3 PE=1 SV=1,46.1,4,2,4,1,4,1,1,2,5,1,4,1,1,-0.74,5.75E-01,3,4,3,4,1,3,2.11E+06,2.87E+06,6.66E+05,2.33E+06,2.30E+05,1.27E+06,,,
High,Q8K274,Ketosamine-3-kinase OS=Mus musculus (Mouse) OX=10090 GN=Fn3krp PE=1 SV=2,34.4,6,2,6,2,3,,1,2,6,2,4,,1,-0.69,5.76E-01,2,6,5,5,1,4,1.78E+06,6.08E+06,2.80E+06,3.56E+06,9.21E+04,1.73E+06,,,
High,O88532,Zinc finger RNA-binding protein OS=Mus musculus (Mouse) OX=10090 GN=Zfr PE=1 SV=2,116.8,12,4,7,,9,,4,5,7,,10,,4,-0.73,5.76E-01,5,5,3,6,4,5,4.25E+06,2.21E+06,4.23E+05,4.71E+06,1.12E+06,1.33E+06,,,
High,Q3ULD5,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Mccc2 PE=1 SV=1",61.3,6,2,6,,2,1,2,3,7,,2,1,2,-0.68,5.76E-01,3,5,2,2,2,2,1.86E+06,4.30E+06,6.68E+05,1.16E+06,1.51E+06,8.39E+05,,,
High,Q923D2,Flavin reductase (NADPH) OS=Mus musculus (Mouse) OX=10090 GN=Blvrb PE=1 SV=3,22.2,7,5,7,4,3,3,2,7,9,4,4,3,2,-0.53,5.77E-01,5,7,6,5,3,6,1.83E+07,2.55E+07,1.21E+07,1.26E+07,1.24E+07,1.95E+07,,,
High,Q8BML9,Glutamine--tRNA ligase OS=Mus musculus (Mouse) OX=10090 GN=Qars PE=1 SV=1,87.6,13,5,9,,11,,1,5,9,,11,,1,0.15,5.77E-01,6,9,5,10,3,5,2.20E+07,1.59E+10,4.45E+10,1.76E+10,3.00E+07,3.64E+10,,,
High,Q7TMR0,Lysosomal Pro-X carboxypeptidase OS=Mus musculus (Mouse) OX=10090 GN=Prcp PE=1 SV=2,55,5,,5,,2,,2,,5,,2,,2,0.43,5.78E-01,2,5,3,3,,3,7.26E+05,5.10E+06,1.26E+06,1.34E+06,,2.14E+06,,,
High,Q9CQL1,Protein mago nashi homolog 2 OS=Mus musculus (Mouse) OX=10090 GN=Magohb PE=2 SV=1,17.1,5,3,3,2,3,,2,4,3,2,3,,2,-0.6,5.78E-01,3,2,2,2,1,2,1.71E+07,5.12E+06,2.79E+06,5.78E+06,4.35E+05,3.38E+06,,,
High,P13634,Carbonic anhydrase 1 OS=Mus musculus (Mouse) OX=10090 GN=Ca1 PE=1 SV=4,28.3,9,6,8,5,6,2,5,7,11,5,7,2,7,0.16,5.78E-01,6,9,8,8,5,6,1.14E+07,2.40E+07,1.36E+07,2.88E+07,1.44E+07,1.52E+07,,,
High,P47964,60S ribosomal protein L36 OS=Mus musculus (Mouse) OX=10090 GN=Rpl36 PE=1 SV=2,12.2,2,2,1,2,2,2,2,3,2,2,3,2,2,0.17,5.78E-01,2,2,2,2,2,2,4.15E+07,1.30E+07,8.13E+06,1.83E+07,1.46E+07,9.91E+06,,,
High,O08788,Dynactin subunit 1 OS=Mus musculus (Mouse) OX=10090 GN=Dctn1 PE=1 SV=3,141.6,22,15,13,3,14,7,6,15,14,3,14,7,6,0.15,5.78E-01,10,13,10,13,8,9,4.06E+07,2.51E+07,4.32E+07,3.27E+07,5.81E+07,4.50E+07,,,
High,P62307,Small nuclear ribonucleoprotein F OS=Mus musculus (Mouse) OX=10090 GN=Snrpf PE=1 SV=1,9.7,3,2,2,2,2,2,1,5,5,4,5,3,3,0.27,5.79E-01,4,3,3,3,4,4,1.96E+07,7.63E+06,3.37E+06,1.09E+07,9.22E+06,7.12E+06,,,
High,Q9CX34,Protein SGT1 homolog OS=Mus musculus (Mouse) OX=10090 GN=Sugt1 PE=1 SV=3,38.1,3,2,2,,2,1,3,2,2,,2,1,3,0.55,5.79E-01,2,2,3,3,3,3,1.12E+06,8.86E+05,5.21E+05,1.76E+06,1.29E+06,1.29E+06,,,
High,Q60692,Proteasome subunit beta type-6 OS=Mus musculus (Mouse) OX=10090 GN=Psmb6 PE=1 SV=3,25.4,4,3,4,4,3,3,4,3,4,4,3,3,4,0.17,5.79E-01,4,4,4,4,4,4,3.65E+07,1.03E+07,1.27E+07,1.75E+07,1.43E+07,1.10E+07,,,
High,P62754,40S ribosomal protein S6 OS=Mus musculus (Mouse) OX=10090 GN=Rps6 PE=1 SV=1,28.7,7,6,5,1,4,4,3,9,5,1,6,4,3,-0.54,5.80E-01,7,8,4,6,6,6,9.67E+07,4.79E+07,1.32E+07,5.51E+07,3.27E+07,3.29E+07,,,
High,Q9JJI8,60S ribosomal protein L38 OS=Mus musculus (Mouse) OX=10090 GN=Rpl38 PE=1 SV=3,8.2,5,4,4,2,5,1,1,7,4,2,6,1,1,-0.53,5.80E-01,5,4,3,5,3,3,6.40E+07,1.70E+07,8.96E+06,3.34E+07,8.41E+06,1.17E+07,,,
High,Q04750,DNA topoisomerase 1 OS=Mus musculus (Mouse) OX=10090 GN=Top1 PE=1 SV=2,90.8,12,7,6,1,11,1,3,7,6,1,12,1,3,-0.56,5.81E-01,6,7,3,9,3,5,1.06E+07,6.68E+06,1.52E+06,9.53E+06,2.85E+06,4.53E+06,,,
High,Q3TDN2,FAS-associated factor 2 OS=Mus musculus (Mouse) OX=10090 GN=Faf2 PE=1 SV=2,52.4,5,2,2,,5,,1,2,2,,6,,1,0.3,5.82E-01,2,4,1,5,2,4,1.90E+06,2.10E+06,2.09E+05,4.78E+06,9.93E+05,2.34E+06,,,
High,Q9DB15,"39S ribosomal protein L12, mitochondrial OS=Mus musculus (Mouse) OX=10090 GN=Mrpl12 PE=1 SV=2",21.7,7,4,5,3,2,1,3,4,5,3,2,1,3,0.28,5.82E-01,4,4,3,3,3,4,4.95E+06,2.76E+06,1.93E+06,4.43E+06,3.15E+06,3.35E+06,,,
High,Q9EQH3,Vacuolar protein sorting-associated protein 35 OS=Mus musculus (Mouse) OX=10090 GN=Vps35 PE=1 SV=1,91.7,17,13,16,3,14,5,9,15,17,3,18,6,9,0.14,5.82E-01,14,12,10,14,11,14,4.24E+07,1.68E+07,6.09E+06,2.23E+07,1.85E+07,1.30E+07,,,
High,Q9CQF9,Prenylcysteine oxidase OS=Mus musculus (Mouse) OX=10090 GN=Pcyox1 PE=1 SV=1,56.5,13,3,9,1,12,2,2,4,12,1,14,2,2,0.26,5.83E-01,4,8,7,10,1,6,7.22E+06,1.85E+07,6.49E+06,2.00E+07,1.13E+06,8.67E+06,,,
High,Q9CQQ8,U6 snRNA-associated Sm-like protein LSm7 OS=Mus musculus (Mouse) OX=10090 GN=Lsm7 PE=1 SV=1,11.6,3,1,3,,2,,1,1,3,,2,,1,0.3,5.84E-01,2,2,2,2,2,2,4.91E+06,3.46E+06,2.94E+06,4.91E+06,4.26E+06,3.29E+06,,,
High,Q9WV02,"RNA-binding motif protein, X chromosome OS=Mus musculus (Mouse) OX=10090 GN=Rbmx PE=1 SV=1",42.3,2,13,11,7,11,7,9,21,14,8,15,8,10,0.26,5.86E-01,3,3,3,2,3,3,1.71E+07,7.30E+06,4.00E+06,9.75E+06,4.45E+06,8.71E+06,,,
High,Q91YT8,CSC1-like protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Tmem63a PE=1 SV=1,91.8,3,,2,,,,1,,2,,,,1,-0.7,5.87E-01,,2,2,1,1,2,,8.85E+05,5.81E+05,4.41E+05,4.19E+05,9.63E+05,,,
High,Q9CWW6,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4 OS=Mus musculus (Mouse) OX=10090 GN=Pin4 PE=1 SV=1,13.8,5,2,4,1,3,1,1,2,4,1,3,1,1,0.33,5.87E-01,2,4,4,3,2,4,9.59E+05,2.42E+06,1.69E+06,1.38E+06,2.13E+06,2.81E+06,,,
High,Q64010,Adapter molecule crk OS=Mus musculus (Mouse) OX=10090 GN=Crk PE=1 SV=1,33.8,6,1,2,1,6,,1,1,2,1,7,,1,0.4,5.87E-01,1,3,2,3,2,2,1.33E+06,2.25E+06,9.79E+05,4.24E+06,1.76E+06,1.47E+06,,,
High,P70349,Histidine triad nucleotide-binding protein 1 OS=Mus musculus (Mouse) OX=10090 GN=Hint1 PE=1 SV=3,13.8,5,5,4,1,3,2,2,7,5,1,4,2,2,-0.54,5.87E-01,5,5,3,4,2,3,5.61E+07,4.43E+07,2.26E+07,6.08E+07,2.65E+07,3.06E+07,,,
High,O55042,Alpha-synuclein OS=Mus musculus (Mouse) OX=10090 GN=Snca PE=1 SV=2,14.5,5,5,5,2,5,3,5,5,5,2,5,3,5,0.34,5.89E-01,4,4,5,5,3,3,4.56E+06,9.19E+06,4.05E+06,7.44E+06,4.55E+06,5.80E+06,,,
